Region,SiteCode,SiteName,SiteLat,SiteLong,maxDHW,maxSSTA,Mean_SST_cl,SD_SST_cl,Jan_SST_cl,Feb_SST_cl,Mar_SST_cl,Apr_SST_cl,May_SST_cl,Jun_SST_cl,Jul_SST_cl,Aug_SST_cl,Sep_SST_cl,Oct_SST_cl,Nov_SST_cl,Dec_SST_cl
GBR,CS131,Chilcott Islet Haven,-16.93012,150.00203,8.399999812,2.329999948,26.39959812,1.402978955,28.18221474,28.26583862,27.83942032,27.07759476,26.25720978,25.37774658,24.62994194,24.46056175,24.76478195,25.70342255,26.72301292,27.51343155
GBR,CS132,Chilcott Islet SW inner reef,-16.93157,149.99043,8.03999982,2.369999947,26.40622075,1.406153409,28.19518852,28.28011703,27.8483696,27.08304787,26.26647758,25.37678146,24.63071251,24.46879387,24.76862526,25.70910835,26.72524261,27.52218437
GBR,CS134,Chilcott Islet inshore reef,-16.9366,150.00092,8.399999812,2.329999948,26.39959812,1.402978955,28.18221474,28.26583862,27.83942032,27.07759476,26.25720978,25.37774658,24.62994194,24.46056175,24.76478195,25.70342255,26.72301292,27.51343155
GBR,CS139,Magdelaine Cay SW,-16.53378,150.26845,10.03999978,2.279999949,26.51517487,1.365096306,28.17398834,28.31077766,27.94178772,27.21609879,26.41270447,25.51658821,24.80962372,24.61053276,24.91590881,25.79800224,26.82896423,27.64712143
GBR,CS140,Magdelaine Cay gulch,-16.53091,150.26973,10.03999978,2.279999949,26.51517487,1.365096306,28.17398834,28.31077766,27.94178772,27.21609879,26.41270447,25.51658821,24.80962372,24.61053276,24.91590881,25.79800224,26.82896423,27.64712143
GBR,CS141,Magdelaine Reef Cruise Ship,-16.52097,150.27712,10.03999978,2.279999949,26.51517487,1.365096306,28.17398834,28.31077766,27.94178772,27.21609879,26.41270447,25.51658821,24.80962372,24.61053276,24.91590881,25.79800224,26.82896423,27.64712143
GBR,CS143,South Willis islet south,-16.29907,149.96294,10.37999977,2.319999948,26.56409725,1.371325188,28.21999741,28.36961555,27.9836483,27.22812462,26.4994278,25.55601692,24.86522675,24.62961006,24.93435669,25.88053703,26.87186241,27.73074341
GBR,CS144,Willis Islet Dark Wall,-16.28601,149.95958,10.37999977,2.319999948,26.56409725,1.371325188,28.21999741,28.36961555,27.9836483,27.22812462,26.4994278,25.55601692,24.86522675,24.62961006,24.93435669,25.88053703,26.87186241,27.73074341
GBR,CS145,South Willis islet anchorage bommie,-16.2927,149.96138,10.37999977,2.319999948,26.56409725,1.371325188,28.21999741,28.36961555,27.9836483,27.22812462,26.4994278,25.55601692,24.86522675,24.62961006,24.93435669,25.88053703,26.87186241,27.73074341
GBR,CS146,Holmes South Cay Inner Reef,-16.49974,147.84345,9.649999784,2.159999952,26.47688866,1.518971322,28.38326836,28.48912048,27.97750664,27.19903564,26.23068237,25.25372887,24.58671951,24.33172417,24.84472847,25.70530701,26.92940521,27.79143715
