label,ET_grouping
Plesiastrea versipora,Coral massive
Pocillopora,Pocillopora
Pocillopora damicornis,Pocillopora damicornis
Pocillopora danae,Pocillopora
Pocillopora eydouxi,Pocillopora eydouxi
Pocillopora meandrina,Pocillopora meandrina
Pocillopora verrucosa,Pocillopora verrucosa
Podabacia crustacea,Coral foliose/Plate
Porites,Porites Submassive
Porites annae,Porites annae
Porites Branching,Porites Branching
Porites cylindrica,Porites cylindrica
Porites Encrusting,Porites Encrusting
Porites Foliose,Porites Foliose plate
Porites Hemispherical,Porites Massive
Porites lichen,Porites lichen
Porites Massive,Porites Massive
Porites monticulosa,Porites Submassive
Porites nigrescens,Porites nigrescens
Porites rugosa,Porites Branching
Porites rus,Porites rus
Porites Solid plates,Porites Foliose plate
Porites Submassive,Porites Submassive
Porites vaughani,Porites vaughani
Psammocora contigua,Psammocora Branching
Psammocora Encrusting,Psammocora Submassive
Psammocora haimiana,Psammocora Submassive
Psammocora nierstraszi,Psammocora Submassive
Psammocora obtusangula,Psammocora Branching
Psammocora profundacella,Psammocora Submassive
Psammocora Submassive,Psammocora Submassive
Sandalolitha robusta,Coral mashroom unattached
Seriatopora,Seriatopora
Seriatopora aculeata,Seriatopora
Seriatopora caliendrum,Seriatopora caliendrum
Seriatopora dendritica,Seriatopora
Seriatopora hystrix,Seriatopora hystrix
Solid plate corals,Coral foliose/Plate
Stony corals,Stony corals
Stylocoeniella Encrusting,Stylocoeniella Encrusting
Stylocoeniella guentheri,Stylocoeniella Encrusting
Stylophora,Stylophora
Stylophora Branching,Stylophora
Stylophora pistillata,Stylophora pistillata
Stylophora subseriata,Stylophora
Sub-massive corals,Coral submassive
Symphyllia,Symphyllia Submassive
Symphyllia agaricia,Symphyllia agaricia
Symphyllia hemispherica,Symphyllia recta
Symphyllia Hemispherical,Symphyllia Submassive
Symphyllia radians,Symphyllia Submassive
Symphyllia recta,Symphyllia recta
Symphyllia Submassive,Symphyllia Submassive
Tabular Acropora corals,Acropora Tabular
Tubastrea,Tubastrea
Tubastrea coccinea,Tubastrea
Tubastrea micranthus,Tubastrea
Turbinaria Encrusting,Turbinaria Encrusting
Turbinaria Foliose,Turbinaria Foliose plates
Turbinaria frondens,Turbinaria frondens
Turbinaria irregularis,Turbinaria Encrusting
Turbinaria mesenterina,Turbinaria mesenterina
Turbinaria peltata,Turbinaria Foliose plates
Turbinaria reniformis,Turbinaria reniformis
Turbinaria Solid plates,Turbinaria Foliose plates
Turbinaria stellulata,Turbinaria Encrusting
