"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost"
"NWS27","Post",121.96127,-14.07039,6,"Election Day Reef",28.4070569155556,1.22535540988889,716.601882477778,532.654558433333,1180.63623955556,167.049747833333,66.9452373722222,1.11111111111111,13.0244173055556,4.763567014,1.51512189866667,0,91,0,4,29.5999069222222,16.5511107411111,2.48111105555556,2013,2018,5,"Post_6"
"NWS27","Pre",121.96127,-14.07039,6,"Election Day Reef",28.4070569155556,1.22535540988889,716.601882477778,532.654558433333,1180.63623955556,167.049747833333,66.9452373722222,1.11111111111111,13.0244173055556,4.763567014,1.51512189866667,0,91,0,3.5,29.5999069222222,0,0,2013,2018,5,"Pre_6"
"NWS28","Post",121.94218,-14.1327,6,"Consolation Bommie",28.40611617,1.227207487,696.3135621,507.8291999,1145.117747,163.0823064,59.88572132,1,12.84527601,4.705653492,1.501379536,0.207421817,190.25,0,6,29.60219574,16.43999963,2.429999946,2013,2018,5,"Post_6"
"NWS28","Pre",121.94218,-14.1327,6,"Consolation Bommie",28.40611617,1.227207487,696.3135621,507.8291999,1145.117747,163.0823064,59.88572132,1,12.84527601,4.705653492,1.501379536,0.207421817,190.25,0,6,29.60219574,0,0,2013,2018,5,"Pre_6"
"NWS29","Post",121.94546,-14.12668,6,"Moray Bommie",28.40611617,1.227207487,733.8958265,548.3968111,1217.152517,171.3683331,69.05224247,2,12.96189967,4.737887816,1.506020503,0.207421817,190.25,0,4.5,29.60219574,16.43999963,2.429999946,2013,2018,5,"Post_6"
"NWS29","Pre",121.94546,-14.12668,6,"Moray Bommie",28.40611617,1.227207487,733.8958265,548.3968111,1217.152517,171.3683331,69.05224247,2,12.96189967,4.737887816,1.506020503,0.207421817,190.25,0,6,29.60219574,0,0,2013,2018,5,"Pre_6"
"NWS3","Post",123.3878,-11.9719,7,"Cardinal Shoal",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,7.5,29.42552948,15.94999964,2.389999947,2013,2019,6,"Post_7"
"NWS3","Pre",123.3878,-11.9719,7,"Cardinal Shoal",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,7.5,29.42552948,0,0,2013,2019,6,"Pre_7"
"NWS30","Post",121.9589,-14.14184,6,"Longnose Spur",28.40707811,1.225914721,694.6713636,504.2534756,1233.156698,171.3677223,61.18635806,1,12.77170622,4.684096069,1.498730488,0,91,0,7,29.5979805,16.53999963,2.469999945,2013,2018,5,"Post_6"
"NWS30","Pre",121.9589,-14.14184,6,"Longnose Spur",28.40707811,1.225914721,694.6713636,504.2534756,1233.156698,171.3677223,61.18635806,1,12.77170622,4.684096069,1.498730488,0,91,0,6,29.5979805,0,0,2013,2018,5,"Pre_6"
"NWS31","Post",121.95693,-14.14383,7,"Napoleon Reef",28.40707811,1.225914721,694.6713636,504.2534756,1233.156698,171.3677223,61.18635806,1,12.77170622,4.684096069,1.498730488,0,91,0,6,29.5979805,16.53999963,2.469999945,2013,2018,5,"Post_7"
"NWS31","Pre",121.95693,-14.14383,7,"Napoleon Reef",28.40707811,1.225914721,694.6713636,504.2534756,1233.156698,171.3677223,61.18635806,1,12.77170622,4.684096069,1.498730488,0,91,0,10,29.5979805,0,0,2013,2018,5,"Pre_7"
"NWS32","Post",121.96473,-14.10934,6,"Goby Heaven",28.40707811,1.225914721,733.8958265,548.3968111,1217.152517,171.3683331,69.05224247,1,12.99032652,4.754008562,1.513796234,0,91,0,4.55,29.5979805,16.53999963,2.469999945,2013,2018,5,"Post_6"
"NWS32","Pre",121.96473,-14.10934,6,"Goby Heaven",28.40707811,1.225914721,733.8958265,548.3968111,1217.152517,171.3683331,69.05224247,1,12.99032652,4.754008562,1.513796234,0,91,0,4.05,29.5979805,0,0,2013,2018,5,"Pre_6"
"NWS33","Post",121.95847,-14.05597,7,"NE Passage",28.40703996,1.224907961,726.301405,546.5467576,1141.820709,163.5952461,69.97916394,1,13.20894681,4.823921054,1.52886198,0,91,0,7.5,29.60144806,16.55999963,2.489999944,2013,2018,5,"Post_7"
"NWS33","Pre",121.95847,-14.05597,7,"NE Passage",28.40703996,1.224907961,726.301405,546.5467576,1141.820709,163.5952461,69.97916394,1,13.20894681,4.823921054,1.52886198,0,91,0,7.5,29.60144806,0,0,2013,2018,5,"Pre_7"
"NWS34","Post",121.9653,-14.06257,6,"Table Tip",28.40703996,1.224907961,726.301405,546.5467576,1141.820709,163.5952461,69.97916394,1,13.20894681,4.823921054,1.52886198,0,91,0,6.25,29.60144806,16.55999963,2.489999944,2013,2018,5,"Post_6"
"NWS34","Pre",121.9653,-14.06257,6,"Table Tip",28.40703996,1.224907961,726.301405,546.5467576,1141.820709,163.5952461,69.97916394,1,13.20894681,4.823921054,1.52886198,0,91,0,6.25,29.60144806,0,0,2013,2018,5,"Pre_6"
"NWS35","Post",121.95083,-14.0717,6,"Ian's Anchorage",28.40703996,1.224907961,726.301405,546.5467576,1141.820709,163.5952461,69.97916394,2,13.07852333,4.770122141,1.51066147,0,91,0,6.5,29.60144806,16.55999963,2.489999944,2013,2018,5,"Post_6"
"NWS35","Pre",121.95083,-14.0717,6,"Ian's Anchorage",28.40703996,1.224907961,726.301405,546.5467576,1141.820709,163.5952461,69.97916394,2,13.07852333,4.770122141,1.51066147,0,91,0,6.5,29.60144806,0,0,2013,2018,5,"Pre_6"
"NWS36","Post",121.78767,-14.0747,7,"Fungiid Fields",28.41229884,1.229314651,744.3641214,499.2432743,1096.230722,149.0994289,62.34467081,1,13.01607329,4.71539365,1.493219216,0.207421817,181.75,0,9,29.62756729,15.88999964,2.579999942,2013,2018,5,"Post_7"
"NWS36","Pre",121.78767,-14.0747,7,"Fungiid Fields",28.41229884,1.229314651,744.3641214,499.2432743,1096.230722,149.0994289,62.34467081,1,13.01607329,4.71539365,1.493219216,0.207421817,181.75,0,9,29.62756729,0,0,2013,2018,5,"Pre_7"
"NWS37","Post",121.78072,-14.0453,6,"Stake Edge",28.41332006,1.228839149,754.3366933,521.0151655,1035.587286,142.8327493,64.44946636,1,13.38267717,4.822828762,1.531186685,0.207421817,147.75,0,6.5,29.63490486,15.90999964,2.609999942,2013,2018,5,"Post_6"
"NWS37","Pre",121.78072,-14.0453,6,"Stake Edge",28.41332006,1.228839149,754.3366933,521.0151655,1035.587286,142.8327493,64.44946636,1,13.38267717,4.822828762,1.531186685,0.207421817,147.75,0,6.5,29.63490486,0,0,2013,2018,5,"Pre_6"
"NWS38","Post",121.77651,-14.06866,6,"Chaetodontoides",28.41229884,1.229314651,754.3366933,521.0151655,1035.587286,142.8327493,64.44946636,1,13.38267717,4.822828762,1.531186685,0.207421817,181.75,0,5.5,29.62756729,15.88999964,2.579999942,2013,2018,5,"Post_6"
"NWS38","Pre",121.77651,-14.06866,6,"Chaetodontoides",28.41229884,1.229314651,754.3366933,521.0151655,1035.587286,142.8327493,64.44946636,1,13.38267717,4.822828762,1.531186685,0.207421817,181.75,0,5.5,29.62756729,0,0,2013,2018,5,"Pre_6"
"NWS39","Post",121.74816,-14.0828,6,"Odonus Dropoff",28.41577911,1.230057578,754.3366933,521.0151655,1035.587286,142.8327493,64.44946636,1,13.38267717,4.822828762,1.531186685,0.207421817,99.5,0,6,29.6346283,15.96999964,2.649999941,2013,2018,5,"Post_6"
"NWS39","Pre",121.74816,-14.0828,6,"Odonus Dropoff",28.41577911,1.230057578,754.3366933,521.0151655,1035.587286,142.8327493,64.44946636,1,13.38267717,4.822828762,1.531186685,0.207421817,99.5,0,6,29.6346283,0,0,2013,2018,5,"Pre_6"
"NWS4","Post",123.3794,-11.969,6,"Titan Reef",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,4.25,29.42552948,15.94999964,2.389999947,2013,2019,6,"Post_6"
"NWS4","Pre",123.3794,-11.969,6,"Titan Reef",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,6.75,29.42552948,0,0,2013,2019,6,"Pre_6"
"NWS40","Post",121.742,-14.0785,6,"Stern Trawler Reef",28.41577911,1.230057578,765.4158053,526.5024797,1071.635212,147.7658211,67.44436489,1,13.74928106,4.930263874,1.569154153,0.207421817,99.5,0,1.75,29.6346283,15.96999964,2.649999941,2013,2018,5,"Post_6"
"NWS40","Pre",121.742,-14.0785,6,"Stern Trawler Reef",28.41577911,1.230057578,765.4158053,526.5024797,1071.635212,147.7658211,67.44436489,1,13.74928106,4.930263874,1.569154153,0.207421817,99.5,0,1.5,29.6346283,0,0,2013,2018,5,"Pre_6"
"NWS41","Post",121.72068,-14.10823,7,"Dead West",28.41530085,1.230430202,721.715712,504.6332732,1050.939714,146.4347713,66.29284045,1,13.70253664,4.928473381,1.56997441,0.207421817,99.5,0,11.5,29.62582016,15.77999965,2.609999942,2013,2018,5,"Post_7"
"NWS41","Pre",121.72068,-14.10823,7,"Dead West",28.41530085,1.230430202,721.715712,504.6332732,1050.939714,146.4347713,66.29284045,1,13.70253664,4.928473381,1.56997441,0.207421817,99.5,0,11.75,29.62582016,0,0,2013,2018,5,"Pre_7"
"NWS5","Post",123.38074,-11.97961,6,"Hibernia Lagoon SE",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,3.5,29.42552948,15.94999964,2.389999947,2013,2019,6,"Post_6"
"NWS5","Pre",123.38074,-11.97961,6,"Hibernia Lagoon SE",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,4.05,29.42552948,0,0,2013,2019,6,"Pre_6"
"NWS50","Post",118.97,-17.6101,6,"Imperieuse SE lagoon",27.5418884,1.657827763,754.944784,489.4533705,1255.691256,225.2495194,53.09896458,1,9.316337943,3.074884907,1.065180082,0.203901616,66,0,1.25,29.63270569,2.079999954,2.879999936,2013,2018,5,"Post_6"
