"","X1","X2","X3","X4","X5","X6","X7","ind.Coral...pval..."
"Astreopora.Submassive",0.00261979969939865,0,0,0.00192660235929068,0.00738865383971025,0.0612844504080927,0.00253024055390791,0.1
"Coeloseris",0,0,0,0.0129625310012256,0.0110471570145476,0.0706311030882113,0.0333857958004448,0.09
"Coral.Branching",0,0.0147294211236245,0.0186047852309057,0.00534645435245764,0.00512600593080682,0.00708619059874736,0.00087769899409772,0.7
"Coral.Columnar",0,0,0.0434782608695652,0,0,0,0,0.14
"Coral.Digitate",0,0,0.0434782608695652,0,0,0,0,0.2
"Coral.Encrusting",0.0290707134104948,0.113244519130683,0.033229364142705,0.0680285537845667,0.00683237470129467,0.0459266761521267,0.0853187307051374,0.17
"Coral.Foliose.Plate",0,0.0406578069765912,0.00282452628807132,0.0121752554617542,0,0.00119533952511178,0.0177666397906032,0.2
"Coral.massive",0.00213323502299758,0,0.00327546341669146,0.0611825131278963,0.00300819470039893,0.0231491411696619,0.00618092799320969,0.06
"Coral.Submassive",0.0311558463406177,0.0558870088395676,0.0814032844727936,0.0354638364150583,0.00305632079591385,0.0150224279760758,0.0360217024127207,0.35
"Corals",0,0,0.0434782608695652,0,0,0,0,0.24
"Coscinaraea.Submassive",0.079834908654559,0.0286447144423825,0,0.0057185690670397,0,0.00168430920921209,0.0262860384909735,0.11
"Ctenactis",0,0,0,0.00148866955633968,0.0856372669258948,0.00526155367992698,0.00195509574908107,0.01
"Cycloseris",0,0,0,0.0212765957446809,0,0,0,0.37
"Cynarina",0,0,0,0,0,0,0.0172413793103448,1
"Cyphastrea.Encrusting",0.0010710895846679,0.0236732657182722,0.00164459832730908,0.00236303987817067,0.00906242203277608,0.0497983715669859,0.0784476009495955,0.12
"Cyphastrea.Hemispherical",0.00105198072830187,0,0.0143578466131182,0,0.02637257242479,0.0182287220600148,0.0011289091644381,0.56
"Cyphastrea.Submassive",0.0643602896190081,0.0010035229263562,0.0920243802599986,0.000200341154605289,0.0349586619423617,0.0866519969404199,0.0410344372817059,0.26
"Diploastrea",0,0.00231174603179126,0,0.0553814395664977,0,0.0151698624002968,0.0778247514878484,0.08
"Echinophyllia.Encrusting",0.0057576603035866,0,0.00566702969025764,0,0.0624553897113811,0.0143897217895022,0.00320817221823028,0.06
"Echinopora.branching",0.000418362941543237,0,0,0.0156908829902157,0.0235982846714232,0.0353407911239234,0.00484873197529362,0.39
"Echinopora.Branching",0,0,0.185408361917122,0,0.00928797570588615,0.000713316534212057,0,0.01
"Echinopora.Encrusting",0.00566719097049415,0.0751538916862673,0.00116022076012196,0.00666824933024373,0,0.00196402170273445,0.00437876420050784,0.06
"Echinopora.Plating",7.8621719555042e-05,0.0185354715163234,0.00289726238375423,0.0365297045373315,0.0776082364514028,0.0691532492613902,0.0118229233757745,0.24
"Echinopora.Submassive",0,0,0,0.000771016377717201,0.0177414081080969,0.00136254014270184,0.0162014285695819,0.71
"Euphyllia",0,0,0,0,0.0416666666666667,0,0,0.2
"Favia.Hemispherical",0.0349045998731128,0.00267729616891579,0.0758854040769817,0.0251655537923609,0.0973657317679922,0.0323036130230574,0.0440037779920979,0.17
"Favia.Submassive",0.0246004976114758,0.0209123539350301,0.0135594279767775,0.00603040717818659,0.0160110209815074,0.129850661041704,0.106765523976568,0.06
"Favites.Encrusting",0.00644820772096809,0.0791769723561047,0,0.00105378134326368,0,0.00372448477963117,0.0155694313952328,0.05
"Favites.Hemispherical",0,0,0.0869565217391304,0,0,0,0,0.01
"Favites.Submassive",0.0256950667310642,0.0263634853540371,0.0750910804483844,0.00584794378609243,0.024669997579559,0.0585836189794735,0.0452972196396486,0.42
"Fungia",0.00146438982480074,0.00119874087699108,0.00249832101490107,0.00837599159635913,0.102792030201985,0.18096566286211,0.00314295319115973,0.01
"Galaxea.Branching",0,0.0952380952380952,0,0,0,0,0,0.05
"Galaxea.Submassive",0,0.0138254860685882,0.159053200597758,0.000552018049456532,0.0190532479882731,0.0584584133477,0.00878125912039792,0.03
"Gardineroseris",0,0,0,0,0,0.0146835443037975,0.0327367961588826,0.19
"Goniastrea.Hemispherical",0.0123855558961055,0,0.138442660365874,0.0366367587614458,0.0267415411393186,0.199521847425393,0.0259381290036229,0.02
"Goniastrea.Submassive",0.0361203800944097,0.0187843321211264,0.00489360259062898,0.000520842164970119,0.0259670563393175,0.110658970133859,0.115185140206404,0.06
