"RLS_category_2","label","freq","mean_cover_present","rank.freq","rank.cover","new.label"
"Sub-massive corals","Echinopora Submassive",1,1.030927835,352,291,"Sub-massive corals"
"Large-polyp stony corals (free-living)","Fungia granulosa",1,1.030927835,360,292,"Large-polyp stony corals (free-living)"
"Large-polyp stony corals (free-living)","Halomitra pileus",1,1.030927835,365,293,"Large-polyp stony corals (free-living)"
"Foliose/Plate corals","Porites Foliose",2,1.0263157895,314,294,"Foliose/Plate corals"
"Massive corals","Astrea curta",29,1.02551970096552,79,295,"Massive corals"
"Encrusting corals","Acanthastrea Encrusting",1,1.020408163,327,296,"Encrusting corals"
"Massive corals","Galaxea Hemispherical",1,1.020408163,362,297,"Massive corals"
"Sub-massive corals","Montipora venosa",2,1.0154639175,309,298,"Sub-massive corals"
"Sub-massive corals","Astreopora cucullata",2,1.0152545865,289,299,"Sub-massive corals"
"Sub-massive corals","Favia Submassive",49,1.01490418214286,53,300,"Sub-massive corals"
"Massive corals","Platygyra Hemispherical",4,1.012123746,249,301,"Massive corals"
"Stony corals","Goniopora",7,1.01056154242857,206,302,"Stony corals"
"Encrusting corals","Pachyseris Encrusting",3,1.01016972433333,271,303,"Encrusting corals"
"Encrusting corals","Platygyra Encrusting",3,1.01016972433333,275,304,"Encrusting corals"
"Foliose/Plate corals","Acropora efflorescens",1,1.01010101,332,305,"Foliose/Plate corals"
"Stony corals","Echinophyllia",1,1.01010101,349,306,"Stony corals"
"Foliose/Plate corals","Pachyseris Foliose",1,1.01010101,387,307,"Foliose/Plate corals"
"Sub-massive corals","Pachyseris Submassive",1,1.01010101,388,308,"Sub-massive corals"
"Large-polyp stony corals (free-living)","Ctenactis echinata",2,1.0052535865,293,309,"Large-polyp stony corals (free-living)"
"Stony corals","Phymastrea",2,1.005050505,312,310,"Stony corals"
"Sub-massive corals","Symphyllia Submassive",7,1.00288600285714,213,311,"Sub-massive corals"
"Branching corals","Branching corals",21,1.00199141952381,104,312,"Branching corals"
"Encrusting corals","Galaxea Encrusting",3,1.00106837633333,263,313,"Encrusting corals"
"Encrusting corals","Psammocora Encrusting",2,1.00010001,316,314,"Encrusting corals"
"Massive corals","Oulophyllia crispa",6,1,218,315,"Massive corals"
"Large-polyp stony corals (free-living)","Ctenactis crassa",4,1,235,316,"Large-polyp stony corals (free-living)"
"Massive corals","Leptastrea inaequalis",4,1,239,317,"Massive corals"
