label,ET_grouping,Genus_GF 
Galaxea fascicularis,Galaxea fascicularis,Galaxea Submassive
Galaxea horrescens,Galaxea horrescens,Galaxea Branching
Galaxea,Galaxea Submassive,Galaxea Submassive
Galaxea Encrusting,Galaxea Submassive,Galaxea Submassive
Galaxea Hemispherical,Galaxea Submassive,Galaxea Submassive
Galaxea Submassive,Galaxea Submassive,Galaxea Submassive
Gardineroseris planulata,Gardineroseris planulata,Gardineroseris
Goniastrea aspera,Goniastrea aspera,Goniastrea Hemispherical
Goniastrea edwardsi,Goniastrea edwardsi,Goniastrea Hemispherical
Goniastrea,Goniastrea Hemispherical,Goniastrea Hemispherical
Goniastrea australensis,Goniastrea Hemispherical,Goniastrea Hemispherical
Goniastrea Hemispherical,Goniastrea Hemispherical,Goniastrea Hemispherical
Goniastrea Submassive,Goniastrea Hemispherical,Goniastrea Hemispherical
Goniastrea pectinata,Goniastrea pectinata,Goniastrea Submassive
Goniastrea retiformis,Goniastrea retiformis,Goniastrea Hemispherical
Goniopora,Goniopora,Goniopora
Goniopora Encrusting,Goniopora,Goniopora Encrusting
Goniopora somaliensis,Goniopora,Goniopora Encrusting
Goniopora fruticosa,Goniopora,Goniopora Submassive
Goniopora Columnar or digitate,Goniopora Columnar or digitate,Goniopora Columnar or digitate
Goniopora Hemispherical,Goniopora Hemispherical,Goniopora Hemispherical
Goniopora Submassive,Goniopora Hemispherical,Goniopora Hemispherical
Goniopora tenuidens,Goniopora Hemispherical,Goniopora Hemispherical
Heliopora coerulea (blue coral),Heliopora coerulea,Heliopora
Hydnophora exesa,Hydnophora exesa,Hydnophora Encrusting
Hydnophora microconos,Hydnophora microconos,Hydnophora Submassive
Hydnophora pilosa,Hydnophora pilosa,Hydnophora Submassive
Hydnophora Branching,Hydnophora rigida,Hydnophora Branching
Hydnophora grandis,Hydnophora rigida,Hydnophora Branching
Hydnophora rigida,Hydnophora rigida,Hydnophora Branching
Isopora,Isopora,Isopora Submassive
Isopora Branching,Isopora,Isopora Branching
Isopora cylindrica,Isopora,Isopora Branching
Isopora elizabethensis,Isopora,Isopora Branching
Isopora Columnar or digitate,Isopora,Isopora Columnar or digitate
Isopora Submassive,Isopora,Isopora Submassive
Isopora brueggemanni,Isopora brueggemanni,Isopora Branching
Isopora cuneata,Isopora cuneata,Isopora Submassive
