Final_grouping,original_label,Species_comments
Oulophyllia Hemispherical,Oulophyllia crispa,
Oxypora Encrusting plate,Oxypora,Predominantly O. lacera
Oxypora Encrusting plate,Oxypora crassispinosa,Predominantly O. lacera
Oxypora Encrusting plate,Oxypora Encrusting,Predominantly O. lacera
Oxypora Encrusting plate,Oxypora lacera,Predominantly O. lacera
Pachyseris,Pachyseris,
Pachyseris Encrusting,Pachyseris Encrusting,
Pachyseris Foliose,Pachyseris Foliose,
Pachyseris Foliose,Pachyseris speciosa,
Pachyseris Submassive,Pachyseris rugosa,
Pachyseris Submassive,Pachyseris Submassive,
Pavona Branching,Pavona cactus,
Pavona Encrusting plate,Pavona explanulata,
Pavona Submassive,Pavona bipartita,Mostly P. varians
Pavona Submassive,Pavona clavus,Mostly P. varians
Pavona Submassive,Pavona decussata,Mostly P. varians
Pavona Submassive,Pavona duerdeni,Mostly P. varians
Pavona Submassive,Pavona maldivensis,Mostly P. varians
Pavona Submassive,Pavona minuta,Mostly P. varians
Pavona Submassive,Pavona Submassive,Mostly P. varians
Pavona Submassive,Pavona varians,Mostly P. varians
Pavona Submassive,Pavona venosa,Mostly P. varians
Pectinia Branching,Pectinia teres,
Pectinia Encrusting,Pectinia alcicornis,
Pectinia Encrusting,Pectinia Encrusting,
Pectinia Encrusting,Pectinia lactuca,
Pectinia Encrusting,Pectinia paeonia,
Phymastrea Submassive,Phymastrea,P. valenciennesi and P. magnistellata
Phymastrea Submassive,Phymastrea magnistellata,P. valenciennesi and P. magnistellata
Phymastrea Submassive,Phymastrea valenciennesi,P. valenciennesi and P. magnistellata
Physogyra,Physogyra lichtensteini,Is Physogyra lichtensteini
Platygyra Hemispherical,Platygyra daedalea,
Platygyra Hemispherical,Platygyra sinensis,
Platygyra Submassive,Platygyra,
Platygyra Submassive,Platygyra contorta,
Platygyra Submassive,Platygyra Encrusting,
Platygyra Submassive,Platygyra Hemispherical,
Platygyra Submassive,Platygyra lamellina,
Platygyra Submassive,Platygyra pini,
Platygyra Submassive,Platygyra ryukyuensis,
Platygyra Submassive,Platygyra Submassive,
Platygyra Submassive,Platygyra verweyi,
Platygyra Submassive,Platygyra yaeyamaensis,
Pocillopora Branching,Branching Pocillopora,Mostly P damicornis and P. verrucosa
Pocillopora Branching,Pocillopora,Mostly P damicornis and P. verrucosa
Pocillopora Branching,Pocillopora damicornis,Mostly P damicornis and P. verrucosa
Pocillopora Branching,Pocillopora danae,Mostly P damicornis and P. verrucosa
Pocillopora Branching,Pocillopora eydouxi,Mostly P damicornis and P. verrucosa
Pocillopora Branching,Pocillopora meandrina,Mostly P damicornis and P. verrucosa
Pocillopora Branching,Pocillopora verrucosa,Mostly P damicornis and P. verrucosa
Podabacia,Podabacia crustacea,
Porites Branching,Porites Branching,Predominantly P. cylindrica
Porites Branching,Porites cylindrica,Predominantly P. cylindrica
Porites Branching,Porites nigrescens,Predominantly P. cylindrica
Porites Branching,Porites rugosa,Predominantly P. cylindrica
Porites Encrusting,Porites Encrusting,Predominantly P. lichen
Porites Encrusting,Porites lichen,Predominantly P. lichen
Porites Foliose plate,Porites Foliose,
Porites Foliose plate,Porites Solid plates,
Porites Massive,Porites Hemispherical,"Mostly P. lutea, P. lobata and P. solida"
Porites Massive,Porites Massive,"Mostly P. lutea, P. lobata and P. solida"
Porites Submassive,Porites,"P. vaughani, P. rus, P. lichen"
