Region,SiteCode,SiteLong,SiteLat,SiteLong_rd,SiteLat_rd,Mean_SST_cl,SD_SST_cl,npp_mean,npp_min,npp_max,npp_sd,npp_interann_sd,npp_flag,wave_mean,wave_sd,wave_interann_sd
GBR,CS3,152.22077,-19.28476,152.2,-19.3,25.77992646,1.537101042,564.1330742,383.1545773,802.5923262,117.7356309,20.4246317,1,17.36667143,5.19702676,2.06691991
GBR,CS31,155.47404,-22.17677,155.5,-22.2,24.90567207,1.595313461,580.9901406,334.729002,902.0167602,176.3548875,17.44008772,1,22.0038722,6.385676454,2.316460532
GBR,CS32,155.47695,-22.17306,155.5,-22.2,24.90567207,1.595313461,580.9901406,334.729002,902.0167602,176.3548875,17.44008772,1,22.0038722,6.385676454,2.316460532
GBR,CS33,155.45378,-22.16356,155.5,-22.2,24.90567207,1.595313461,575.9786387,360.5034889,895.6859398,170.0854943,26.92609039,1,21.94326306,6.378090366,2.308605539
GBR,CS34,155.45462,-22.17084,155.5,-22.2,24.90567207,1.595313461,575.9786387,360.5034889,895.6859398,170.0854943,26.92609039,1,21.94326306,6.378090366,2.308605539
GBR,CS35,155.45081,-22.16866,155.5,-22.2,24.90567207,1.595313461,575.9786387,360.5034889,895.6859398,170.0854943,26.92609039,1,21.94326306,6.378090366,2.308605539
GBR,CS36,155.36165,-22.1854,155.4,-22.2,24.92428811,1.591256706,585.1824367,351.5465851,899.9001634,172.7519948,24.20485219,1,21.94304046,6.388902312,2.307469963
GBR,CS38,155.35576,-22.18586,155.4,-22.2,24.92428811,1.591256706,585.1824367,351.5465851,899.9001634,172.7519948,24.20485219,1,21.94304046,6.388902312,2.307469963
GBR,CS39,155.35547,-22.18985,155.4,-22.2,24.92428811,1.591256706,585.1824367,351.5465851,899.9001634,172.7519948,24.20485219,1,21.94304046,6.388902312,2.307469963
GBR,CS4,152.32594,-19.23026,152.3,-19.2,25.77003495,1.532849689,601.6063006,397.0929989,840.4508621,129.7249809,28.31174749,1,17.35930026,5.12246704,2.037208689
GBR,CS41,155.29443,-22.1977,155.3,-22.2,24.95041847,1.590674542,595.0272515,356.2120828,893.1328624,165.5148377,27.2213933,1,21.91220764,6.386290613,2.303338394
GBR,CS42,155.17601,-22.18602,155.2,-22.2,24.98541991,1.594147576,582.5027663,363.6925018,913.1124626,168.4814121,29.20480387,1,21.79567544,6.370060722,2.288360089
GBR,CS44,155.16463,-22.17629,155.2,-22.2,24.98541991,1.594147576,582.5027663,363.6925018,913.1124626,168.4814121,29.20480387,1,21.79567544,6.370060722,2.288360089
GBR,CS45,155.17796,-22.17583,155.2,-22.2,24.98541991,1.594147576,582.5027663,363.6925018,913.1124626,168.4814121,29.20480387,1,21.79567544,6.370060722,2.288360089
GBR,CS47,153.5935,-21.89659,153.6,-21.9,25.49456914,1.617016724,659.4763874,446.5404426,940.2252853,130.637428,25.11292378,1,19.29334305,6.067741563,2.151188728
