"","X1","X2","X3","X4","X5","X6","X7","ind.Coral.sp...pval..."
"Acropora.hyacinthus",0.000437085493110144,0.0048302407044723,0.0952990968479725,0.00675009192155093,0.00308179419946801,0.0514427880387357,0.0241853052514731,0.13
"Acropora.intermedia",0,0.007479193209673,0.0103916956693944,0,0.0229050292046236,0.0243196438083011,0,0.7
"Acropora.latistella",0.000329575445453671,0,0.048580292882222,0.00290843989754362,0,0.0493420318746152,0.00891264489411752,0.2
"Acropora.listeri",0.00164062083506644,0.132957251756099,0,0.00120651360188567,0,0.00852860334900941,0.00316907080447733,0.01
"Acropora.loisetteae",0,0,0,0,0,0.08,0,0.02
"Acropora.longicyathus",0.000166971223920386,0.0701176913185671,0,0.0510809494593054,0,0.00361298011340545,0.00016126323023702,0.21
"Acropora.loripes",0.000270878090958801,0.00199565287420667,0,0.0717134111156749,0,0.0335839641327595,0.0561606618000587,0.08
"Acropora.lutkeni",0.00105227203520617,0.0387622657866763,0,0.00193460380397513,0,0,0.00762224697321235,0.17
"Acropora.microclados",0.0175438596491228,0,0,0,0,0,0,0.74
"Acropora.microphthalma",0,0,0.0179053268353306,0.0159820829553268,0,0.00068886675606472,0.00614328260461998,0.77
"Acropora.millepora",0,0,0.0312337819360694,0.0464257616327021,0.00148371683227197,0.0382870161134119,0,0.46
"Acropora.monticulosa",0,0.119046934869832,0,0,0,0.00818995293130499,0.000520211041196949,0.01
"Acropora.muricata",0.000153892744487849,0.00755854160001542,0.0472587454481116,0.119082958080189,0.00916276331981036,0.15994735699375,0.00107345221444928,0.01
"Acropora.nana",0,0,0,0,0,0.02,0,0.53
"Acropora.nasuta",0.000861969465371442,0.00226801003643652,0.136762291403192,0.0344113283753764,0.00520933555244013,0.0162031173023098,0.00267590125880397,0.01
"Acropora.paniculata",0.0154583035183525,0,0,0,0,0.0064286756007843,0.0199064717126942,0.64
"Acropora.papillare",0,0,0.0992098026247085,0,0,0.00957566052842274,0,0.02
"Acropora.polystoma",0.000351236752510882,0.025876830133965,0,0.000516599460800297,0,0.0412189957057518,0.0335837255296902,0.43
