survey_id,site_code,site_name,latitude,longitude,survey_date,program,database,is_NESP_pre.post,survey_year
912347644,CS143,South Willis islet south,-16.29907,149.96294,22/11/2016,RLS,Squidle+,Post,2016
912347674,CS143,South Willis islet south,-16.29907,149.96294,22/11/2016,RLS,Squidle+,Post,2016
912343334,CS144,Willis Islet Dark Wall,-16.28601,149.95958,5/7/2013,RLS,Squidle+,Pre,2013
912343335,CS144,Willis Islet Dark Wall,-16.28601,149.95958,5/7/2013,RLS,Squidle+,Pre,2013
912347642,CS144,Willis Islet Dark Wall,-16.28601,149.95958,21/11/2016,RLS,Squidle+,Post,2016
912347673,CS144,Willis Islet Dark Wall,-16.28601,149.95958,21/11/2016,RLS,Squidle+,Post,2016
912343336,CS145,South Willis islet anchorage bommie,-16.2927,149.96138,5/5/2013,RLS,Squidle+,Pre,2013
912343337,CS145,South Willis islet anchorage bommie,-16.2927,149.96138,5/5/2013,RLS,Squidle+,Pre,2013
912347643,CS145,South Willis islet anchorage bommie,-16.2927,149.96138,21/11/2016,RLS,Squidle+,Post,2016
912347672,CS145,South Willis islet anchorage bommie,-16.2927,149.96138,21/11/2016,RLS,Squidle+,Post,2016
912343338,CS146,Holmes South Cay Inner Reef,-16.49974,147.84345,6/7/2013,RLS,Squidle+,Pre,2013
912343339,CS146,Holmes South Cay Inner Reef,-16.49974,147.84345,6/7/2013,RLS,Squidle+,Pre,2013
912347648,CS146,Holmes South Cay Inner Reef,-16.49974,147.84345,24/11/2016,RLS,Squidle+,Post,2016
912347678,CS146,Holmes South Cay Inner Reef,-16.49974,147.84345,24/11/2016,RLS,Squidle+,Post,2016
912343340,CS147,Holmes Reef Cay Buoy Wall,-16.51274,147.84033,6/7/2013,RLS,Squidle+,Pre,2013
912343341,CS147,Holmes Reef Cay Buoy Wall,-16.51274,147.84033,6/7/2013,RLS,Squidle+,Pre,2013
912347645,CS147,Holmes Reef Cay Buoy Wall,-16.51274,147.84033,23/11/2016,RLS,Squidle+,Post,2016
912347675,CS147,Holmes Reef Cay Buoy Wall,-16.51274,147.84033,23/11/2016,RLS,Squidle+,Post,2016
912343342,CS148,Holmes South Cay South Reef,-16.50813,147.84016,7/7/2013,RLS,Squidle+,Pre,2013
912343343,CS148,Holmes South Cay South Reef,-16.50813,147.84016,7/7/2013,RLS,Squidle+,Pre,2013
912347647,CS148,Holmes South Cay South Reef,-16.50813,147.84016,24/11/2016,RLS,Squidle+,Post,2016
912347677,CS148,Holmes South Cay South Reef,-16.50813,147.84016,24/11/2016,RLS,Squidle+,Post,2016
912343344,CS149,Holmes South Cay South Inner Reef,-16.50487,147.84137,7/7/2013,RLS,Squidle+,Pre,2013
912343345,CS149,Holmes South Cay South Inner Reef,-16.50487,147.84137,7/7/2013,RLS,Squidle+,Pre,2013
912347646,CS149,Holmes South Cay South Inner Reef,-16.50487,147.84137,23/11/2016,RLS,Squidle+,Post,2016
912347676,CS149,Holmes South Cay South Inner Reef,-16.50487,147.84137,23/11/2016,RLS,Squidle+,Post,2016
912342274,CS15,Chilcott Bommie,-16.92247,150.00647,27/10/2012,RLS,Squidle+,Pre,2012
912342283,CS15,Chilcott Bommie,-16.92247,150.00647,27/10/2012,RLS,Squidle+,Pre,2012
912347702,CS15,Chilcott Bommie,-16.92247,150.00647,19/1/2017,RLS,Squidle+,Post,2017
912347725,CS15,Chilcott Bommie,-16.92247,150.00647,19/1/2017,RLS,Squidle+,Post,2017
912343346,CS150,Holmes Reef South Cay Swim through,-16.49493,147.84932,7/7/2013,RLS,Squidle+,Pre,2013
912343347,CS150,Holmes Reef South Cay Swim through,-16.49493,147.84932,7/7/2013,RLS,Squidle+,Pre,2013
912347649,CS150,Holmes Reef South Cay Swim through,-16.49493,147.84932,25/11/2016,RLS,Squidle+,Post,2016
912347679,CS150,Holmes Reef South Cay Swim through,-16.49493,147.84932,25/11/2016,RLS,Squidle+,Post,2016
912343348,CS151,Holmes N Cay anchorage,-16.47592,147.86608,9/7/2013,RLS,Squidle+,Pre,2013
912343349,CS151,Holmes N Cay anchorage,-16.47592,147.86608,9/7/2013,RLS,Squidle+,Pre,2013
912347650,CS151,Holmes N Cay anchorage,-16.47592,147.86608,25/11/2016,RLS,Squidle+,Post,2016
912347680,CS151,Holmes N Cay anchorage,-16.47592,147.86608,25/11/2016,RLS,Squidle+,Post,2016
912343407,CS153,Inner Osprey East,-13.85535,146.62455,19/7/2013,RLS,Squidle+,Pre,2013
912343408,CS153,Inner Osprey East,-13.85535,146.62455,19/7/2013,RLS,Squidle+,Pre,2013
912346793,CS153,Inner Osprey East,-13.85535,146.62455,5/12/2016,RLS,Squidle+,Post,2016
912346794,CS153,Inner Osprey East,-13.85535,146.62455,5/12/2016,RLS,Squidle+,Post,2016
912343410,CS155,Osprey Pass South,-13.8914,146.55312,20/7/2013,RLS,Squidle+,Pre,2013
912343411,CS155,Osprey Pass South,-13.8914,146.55312,20/7/2013,RLS,Squidle+,Pre,2013
912346781,CS155,Osprey Pass South,-13.8914,146.55312,3/12/2016,RLS,Squidle+,Post,2016
912346782,CS155,Osprey Pass South,-13.8914,146.55312,3/12/2016,RLS,Squidle+,Post,2016
912343414,CS156,Osprey Pass,-13.88295,146.56243,20/7/2013,RLS,Squidle+,Pre,2013
912346801,CS156,Osprey Pass,-13.88295,146.56243,6/12/2016,RLS,Squidle+,Post,2016
912346802,CS156,Osprey Pass,-13.88295,146.56243,6/12/2016,RLS,Squidle+,Post,2016
912343415,CS157,Osprey Pass Channel,-13.8954,146.5576,20/7/2013,RLS,Squidle+,Pre,2013
912343416,CS157,Osprey Pass Channel,-13.8954,146.5576,20/7/2013,RLS,Squidle+,Pre,2013
912346779,CS157,Osprey Pass Channel,-13.8954,146.5576,3/12/2016,RLS,Squidle+,Post,2016
912346780,CS157,Osprey Pass Channel,-13.8954,146.5576,3/12/2016,RLS,Squidle+,Post,2016
912343417,CS158,Osprey Castle,-13.87003,146.57765,21/7/2013,RLS,Squidle+,Pre,2013
912343418,CS158,Osprey Castle,-13.87003,146.57765,21/7/2013,RLS,Squidle+,Pre,2013
912346795,CS158,Osprey Castle,-13.87003,146.57765,5/12/2016,RLS,Squidle+,Post,2016
912346796,CS158,Osprey Castle,-13.87003,146.57765,5/12/2016,RLS,Squidle+,Post,2016
912342275,CS16,Chilcott NE,-16.92251,150.01143,27/10/2012,RLS,Squidle+,Pre,2012
912342281,CS16,Chilcott NE,-16.92251,150.01143,27/10/2012,RLS,Squidle+,Pre,2012
912347701,CS16,Chilcott NE,-16.92251,150.01143,18/1/2017,RLS,Squidle+,Post,2017
912347724,CS16,Chilcott NE,-16.92251,150.01143,18/1/2017,RLS,Squidle+,Post,2017
912342276,CS17,SW South West Islet,-16.97162,149.90476,28/10/2012,RLS,Squidle+,Pre,2012
912342284,CS17,SW South West Islet,-16.97162,149.90476,28/10/2012,RLS,Squidle+,Pre,2012
912347705,CS17,SW South West Islet,-16.97162,149.90476,20/1/2017,RLS,Squidle+,Post,2017
912347728,CS17,SW South West Islet,-16.97162,149.90476,20/1/2017,RLS,Squidle+,Post,2017
912345442,CS171,Bougainville Reef southwest,-15.48855,147.0903,14/7/2015,RLS,Squidle+,Pre,2015
912345443,CS171,Bougainville Reef southwest,-15.48855,147.0903,14/7/2015,RLS,Squidle+,Pre,2015
