"","X1","X2","X3","X4","X5","X6","X7","ind.Coral...pval..."
"Seriatopora.hystrix",0.00967866389543931,0.000268230609247915,0.00446794784172254,0,0.146414161021675,0.0382762159744675,0.0223974967953418,0.02
"Turbinaria.mesenterina",0,0,0.0571218122646544,0,0.00136257674754572,0,0,0.11
"Acropora.hyacinthus",0.00136564726735733,0.000806738697635472,0.0089206164945681,0.052256910740714,0.00413760858357916,0.00395152565786263,0.187705753034692,0.01
"Acropora.tenuis",0.00211691157631561,0,0.00312090044955079,0.151507985549799,0.0219900787013394,0.00204177428271182,0.0663925646399493,0.02
"Acropora.spicifera",0,0,0,0.422236374606154,0.000388994541727383,0,0,0.01
"Cyphastrea.Submassive",0.00304667283139172,0.0627878876870362,0.000518263858947187,0.116647290471487,0.0339559493630267,0.0596084332509687,0.0245413553199282,0.07
"Echinopora.lamellosa",0.00759059673472521,0.000186835340233272,0.0120195262682704,0.00537882421678373,0.0171114776633312,0.0785769437576419,0.101739845264808,0.09
"Echinopora.ashmorensis",0,0,0,0.194407118581454,0.0039402807212301,0.00603470934747335,0,0.01
"Columnar.corals",0.0352069147108383,0.0119491200292906,0.0229159021797239,0.0449150961614041,0.000437306510016948,0.00194898333476689,0.000263003165541221,0.49
"Galaxea.astreata",0,0,0,0.102530536164512,0.000994063370016048,0.113906107607202,0.000145108177589869,0.04
"Porites.annae",0,0,0.000242500814882468,0.178552352991178,0.00223539890321413,0,0,0.01
"Porites.lichen",0.353990555609479,0.0859002427656692,0.0123043910697474,0.00100038311212101,0.0311629038430936,0.000340408142318954,0.000275615755380278,0.01
"Isopora.palifera",0.417379618635791,0.00656840716409287,0.0420946620079883,0,0.0202054344639763,0.0115465196831519,0.0725453116956967,0.01
"Organ.pipe.coral..Tubipora.",0,0,0.0240963855421687,0,0,0,0,0.6
"Acropora.digitifera",0,0,0,0.527353415800826,0.000395217872206552,0.00313138330571336,0.0299773360998716,0.01
"Acropora.seriata",0,0,0,0.0952380952380952,0,0,0,0.01
"Goniastrea.edwardsi",0.000930459890939992,0.0143723632130596,0.0208681810558639,0.0547206925205127,0.0164446757617943,0.180775355935182,0.0134925369964954,0.02
"Goniastrea.pectinata",0.020623904806507,0.0379451304359081,0.00898952475248821,0.00573139308575821,0.0383790709736377,0.00895891366378287,0.252384207690924,0.01
"Seriatopora.caliendrum",0.0746656743799242,0,0.00568940403885656,0.0295845460145666,0.0793491904166074,0,0,0.12
"Acropora.nasuta",0.00163844727259691,0.00136279658226357,0.0167295501018322,0.102241113819613,0.00212748520506871,0.0252846801326684,0.0180713424021,0.07
"Leptoria.phrygia",0.0295008744111754,0.018921030711569,0.0116637880691257,0.0524544936068371,0,0,0.0531822190298076,0.37
"Acropora.cytherea",0.000929891879176202,0.000137330440568319,0.00590546809608925,0.0694080295303477,0.00362232813044746,0.000896886457538775,0.138136942566807,0.02
"Acropora.glauca",0,0,0,0.0476190476190476,0,0,0,0.18
"Acropora",0.0473970655518298,0.0167317869843279,0.0102785487759727,0.00892024723074776,0.009340314274855,0.00495569290659044,0.0492378293144727,0.56
"Acropora.abrotanoides",0.220703549749304,0,0.000560895194776471,0.0157079905022005,0,0,0.0048085685210818,0.01
"Acropora.valenciennesi",0,0,0,0.0383693045563549,0,0,0.00396417559829687,0.25
"Montipora.crassituberculata",0,0,0.000902691888175006,0.136691764802193,0.000478504495047524,0,0,0.01
"Montipora.spongodes",0,0,0,0.0476190476190476,0,0,0,0.13
"Favia.stelligera",0.00343309708128555,0.0306743817074929,0.0111348908274022,0.00121637509966183,0.00928707442781973,0.000827810831714301,0.323350790317121,0.01
"Acropora.humilis",0.0212597063433403,0.00435667276046632,0.00902390175229354,0,0.000766811892000673,0.00341751966681781,0.148142048310065,0.01
"Ahermatypic.corals",0,0.011870709382151,0.0109384908053266,0,0,0,0,0.88
"Acropora.loripes",0.00154094759775761,0.00045514756550024,0.0430987925357307,0,0.00666961390996197,0,0.113939303616431,0.02
"Isopora.cuneata",0.0499248120300752,0,0.00452939577860313,0,0,0,0,0.08
"Isopora.Encrusting",0.111038965268219,0.000630719729648072,0.00271221385848374,0,0,0,0.00105876753583003,0.01
"Acropora.globiceps",0.04,0,0,0,0,0,0,0.18
"Turbinaria.reniformis",0.0769111969111969,0,0.000465181188072754,0,0,0,0,0.02
"Acropora.vaughani",0,0.000557791934625763,0.000342658653989872,0.0374694518624798,0,0.0034693936895826,0.00591387717560156,0.36
"Alveopora.spongiosa",0,0.0217391304347826,0,0,0,0,0,0.55
"Pavona.explanulata",0,0.000982180010115837,0.000905048440153191,0,0,0.0488722610556643,0,0.14
