survey_id,s_year,s_month,lat,lon,tminus,max_dhw
912343237,2013,6,-17.125,152.02499389648438,2,1.4496666193008425
912343237,2013,6,-17.125,152.02499389648438,3,5.980000019073486
912343237,2013,6,-17.125,152.02499389648438,4,2.450000047683716
912343237,2013,6,-17.125,152.02499389648438,5,8.222332954406738
912343237,2013,6,-17.125,152.02499389648438,6,1.8899999856948853
912343240,2013,6,-17.125,151.97500610351565,1,1.7200000286102295
912343240,2013,6,-17.125,151.97500610351565,2,1.4119999408721924
912343240,2013,6,-17.125,151.97500610351565,3,6.019999980926514
912343240,2013,6,-17.125,151.97500610351565,4,1.950000047683716
912343240,2013,6,-17.125,151.97500610351565,5,7.578000068664551
912343240,2013,6,-17.125,151.97500610351565,6,1.830000042915344
912343241,2013,6,-17.125,151.97500610351565,1,1.7200000286102295
912343241,2013,6,-17.125,151.97500610351565,2,1.4119999408721924
912343241,2013,6,-17.125,151.97500610351565,3,6.019999980926514
912343241,2013,6,-17.125,151.97500610351565,4,1.950000047683716
912343241,2013,6,-17.125,151.97500610351565,5,7.578000068664551
912343241,2013,6,-17.125,151.97500610351565,6,1.830000042915344
912343248,2013,6,-17.375,151.52499389648438,1,2.069999933242798
912343248,2013,6,-17.375,151.52499389648438,2,0.4819999933242798
912343248,2013,6,-17.375,151.52499389648438,3,5.924444675445557
912343248,2013,6,-17.375,151.52499389648438,4,2.619999885559082
912343248,2013,6,-17.375,151.52499389648438,5,5.926666736602783
912343248,2013,6,-17.375,151.52499389648438,6,0.44999998807907104
912343249,2013,6,-17.375,151.52499389648438,1,2.069999933242798
912343249,2013,6,-17.375,151.52499389648438,2,0.4819999933242798
912343249,2013,6,-17.375,151.52499389648438,3,5.924444675445557
912343249,2013,6,-17.375,151.52499389648438,4,2.619999885559082
912343249,2013,6,-17.375,151.52499389648438,5,5.926666736602783
912343249,2013,6,-17.375,151.52499389648438,6,0.44999998807907104
912343250,2013,6,-17.424999237060547,151.0749969482422,1,3.4673333168029785
912343250,2013,6,-17.424999237060547,151.0749969482422,2,1.462000012397766
912343250,2013,6,-17.424999237060547,151.0749969482422,3,6.023703575134277
912343250,2013,6,-17.424999237060547,151.0749969482422,4,4.449999809265137
912343250,2013,6,-17.424999237060547,151.0749969482422,5,6.639666557312012
912343250,2013,6,-17.424999237060547,151.0749969482422,6,1.2200000286102295
912343252,2013,6,-17.424999237060547,151.0749969482422,1,3.4673333168029785
912343252,2013,6,-17.424999237060547,151.0749969482422,2,1.462000012397766
912343252,2013,6,-17.424999237060547,151.0749969482422,3,6.023703575134277
912343252,2013,6,-17.424999237060547,151.0749969482422,4,4.449999809265137
912343252,2013,6,-17.424999237060547,151.0749969482422,5,6.639666557312012
912343252,2013,6,-17.424999237060547,151.0749969482422,6,1.2200000286102295
912343253,2013,6,-17.424999237060547,151.0749969482422,1,3.4673333168029785
912343253,2013,6,-17.424999237060547,151.0749969482422,2,1.462000012397766
912343253,2013,6,-17.424999237060547,151.0749969482422,3,6.023703575134277
912343253,2013,6,-17.424999237060547,151.0749969482422,4,4.449999809265137
912343253,2013,6,-17.424999237060547,151.0749969482422,5,6.639666557312012
912343253,2013,6,-17.424999237060547,151.0749969482422,6,1.2200000286102295
912343254,2013,6,-17.424999237060547,151.0749969482422,1,3.4673333168029785
912343254,2013,6,-17.424999237060547,151.0749969482422,2,1.462000012397766
912343254,2013,6,-17.424999237060547,151.0749969482422,3,6.023703575134277
912343254,2013,6,-17.424999237060547,151.0749969482422,4,4.449999809265137
912343254,2013,6,-17.424999237060547,151.0749969482422,5,6.639666557312012
912343254,2013,6,-17.424999237060547,151.0749969482422,6,1.2200000286102295
912343255,2013,6,-17.424999237060547,151.0749969482422,1,3.4673333168029785
912343255,2013,6,-17.424999237060547,151.0749969482422,2,1.462000012397766
912343255,2013,6,-17.424999237060547,151.0749969482422,3,6.023703575134277
912343255,2013,6,-17.424999237060547,151.0749969482422,4,4.449999809265137
912343255,2013,6,-17.424999237060547,151.0749969482422,5,6.639666557312012
912343255,2013,6,-17.424999237060547,151.0749969482422,6,1.2200000286102295
912343256,2013,6,-17.424999237060547,151.0749969482422,1,3.4673333168029785
912343256,2013,6,-17.424999237060547,151.0749969482422,2,1.462000012397766
912343256,2013,6,-17.424999237060547,151.0749969482422,3,6.023703575134277
912343256,2013,6,-17.424999237060547,151.0749969482422,4,4.449999809265137
912343256,2013,6,-17.424999237060547,151.0749969482422,5,6.639666557312012
912343256,2013,6,-17.424999237060547,151.0749969482422,6,1.2200000286102295
912343267,2013,6,-17.725000381469727,150.72500610351565,1,2.870666742324829
912343267,2013,6,-17.725000381469727,150.72500610351565,2,1.2613333463668823
912343267,2013,6,-17.725000381469727,150.72500610351565,3,5.024074077606201
912343267,2013,6,-17.725000381469727,150.72500610351565,4,2.569999933242798
912343267,2013,6,-17.725000381469727,150.72500610351565,5,2.7186665534973145
912343267,2013,6,-17.725000381469727,150.72500610351565,6,0.47999998927116394
912343268,2013,6,-17.725000381469727,150.72500610351565,1,2.870666742324829
912343268,2013,6,-17.725000381469727,150.72500610351565,2,1.2613333463668823
912343268,2013,6,-17.725000381469727,150.72500610351565,3,5.024074077606201
912343268,2013,6,-17.725000381469727,150.72500610351565,4,2.569999933242798
912343268,2013,6,-17.725000381469727,150.72500610351565,5,2.7186665534973145
912343268,2013,6,-17.725000381469727,150.72500610351565,6,0.47999998927116394
912343269,2013,6,-17.725000381469727,150.72500610351565,1,2.870666742324829
912343269,2013,6,-17.725000381469727,150.72500610351565,2,1.2613333463668823
912343269,2013,6,-17.725000381469727,150.72500610351565,3,5.024074077606201
912343269,2013,6,-17.725000381469727,150.72500610351565,4,2.569999933242798
912343269,2013,6,-17.725000381469727,150.72500610351565,5,2.7186665534973145
912343269,2013,6,-17.725000381469727,150.72500610351565,6,0.47999998927116394
912343270,2013,6,-17.725000381469727,150.72500610351565,1,2.870666742324829
912343270,2013,6,-17.725000381469727,150.72500610351565,2,1.2613333463668823
912343270,2013,6,-17.725000381469727,150.72500610351565,3,5.024074077606201
912343270,2013,6,-17.725000381469727,150.72500610351565,4,2.569999933242798
912343270,2013,6,-17.725000381469727,150.72500610351565,5,2.7186665534973145
912343270,2013,6,-17.725000381469727,150.72500610351565,6,0.47999998927116394
912343273,2013,6,-17.774999618530273,150.625,1,2.740333318710327
912343273,2013,6,-17.774999618530273,150.625,2,0.9662069082260132
912343273,2013,6,-17.774999618530273,150.625,3,4.510000228881836
912343273,2013,6,-17.774999618530273,150.625,4,2.4100000858306885
912343273,2013,6,-17.774999618530273,150.625,5,2.3340001106262207
912343273,2013,6,-17.774999618530273,150.625,6,0.4600000083446502
912343274,2013,6,-17.774999618530273,150.625,1,2.740333318710327
912343274,2013,6,-17.774999618530273,150.625,2,0.9662069082260132
912343274,2013,6,-17.774999618530273,150.625,3,4.510000228881836
912343274,2013,6,-17.774999618530273,150.625,4,2.4100000858306885
912343274,2013,6,-17.774999618530273,150.625,5,2.3340001106262207
912343274,2013,6,-17.774999618530273,150.625,6,0.4600000083446502
912343290,2013,6,-17.875,148.52499389648438,1,2.924000024795532
912343290,2013,6,-17.875,148.52499389648438,2,1.3342857360839844
912343290,2013,6,-17.875,148.52499389648438,3,1.7300000190734863
912343290,2013,6,-17.875,148.52499389648438,4,1.0199999809265137
912343290,2013,6,-17.875,148.52499389648438,5,2.400740623474121
912343290,2013,6,-17.875,148.52499389648438,6,0.1599999964237213
912343291,2013,6,-17.875,148.52499389648438,1,2.924000024795532
912343291,2013,6,-17.875,148.52499389648438,2,1.3342857360839844
912343291,2013,6,-17.875,148.52499389648438,3,1.7300000190734863
912343291,2013,6,-17.875,148.52499389648438,4,1.0199999809265137
912343291,2013,6,-17.875,148.52499389648438,5,2.400740623474121
912343291,2013,6,-17.875,148.52499389648438,6,0.1599999964237213
912343292,2013,6,-17.825000762939453,148.52499389648438,1,3.053999900817871
912343292,2013,6,-17.825000762939453,148.52499389648438,2,1.1942857503890991
912343292,2013,6,-17.825000762939453,148.52499389648438,3,1.7200000286102295
912343292,2013,6,-17.825000762939453,148.52499389648438,4,1
912343292,2013,6,-17.825000762939453,148.52499389648438,5,1.970740795135498
912343292,2013,6,-17.825000762939453,148.52499389648438,6,0.17000000178813934
912343293,2013,6,-17.825000762939453,148.52499389648438,1,3.053999900817871
912343293,2013,6,-17.825000762939453,148.52499389648438,2,1.1942857503890991
912343293,2013,6,-17.825000762939453,148.52499389648438,3,1.7200000286102295
912343293,2013,6,-17.825000762939453,148.52499389648438,4,1
912343293,2013,6,-17.825000762939453,148.52499389648438,5,1.970740795135498
912343293,2013,6,-17.825000762939453,148.52499389648438,6,0.17000000178813934
912343296,2013,6,-17.725000381469727,148.4250030517578,1,2.8443334102630615
912343296,2013,6,-17.725000381469727,148.4250030517578,2,0.9142857193946838
912343296,2013,6,-17.725000381469727,148.4250030517578,3,1.6299999952316284
912343296,2013,6,-17.725000381469727,148.4250030517578,4,0.800000011920929
912343296,2013,6,-17.725000381469727,148.4250030517578,5,2.741851806640625
912343296,2013,6,-17.725000381469727,148.4250030517578,6,0.4699999988079071
912343298,2013,6,-17.725000381469727,148.4250030517578,1,2.8443334102630615
912343298,2013,6,-17.725000381469727,148.4250030517578,2,0.9142857193946838
912343298,2013,6,-17.725000381469727,148.4250030517578,3,1.6299999952316284
912343298,2013,6,-17.725000381469727,148.4250030517578,4,0.800000011920929
912343298,2013,6,-17.725000381469727,148.4250030517578,5,2.741851806640625
912343298,2013,6,-17.725000381469727,148.4250030517578,6,0.4699999988079071
912343299,2013,6,-17.725000381469727,148.4250030517578,1,2.8443334102630615
912343299,2013,6,-17.725000381469727,148.4250030517578,2,0.9142857193946838
912343299,2013,6,-17.725000381469727,148.4250030517578,3,1.6299999952316284
912343299,2013,6,-17.725000381469727,148.4250030517578,4,0.800000011920929
912343299,2013,6,-17.725000381469727,148.4250030517578,5,2.741851806640625
912343299,2013,6,-17.725000381469727,148.4250030517578,6,0.4699999988079071
912343300,2013,6,-17.725000381469727,148.4250030517578,1,2.8443334102630615
912343300,2013,6,-17.725000381469727,148.4250030517578,2,0.9142857193946838
912343300,2013,6,-17.725000381469727,148.4250030517578,3,1.6299999952316284
912343300,2013,6,-17.725000381469727,148.4250030517578,4,0.800000011920929
912343300,2013,6,-17.725000381469727,148.4250030517578,5,2.741851806640625
912343300,2013,6,-17.725000381469727,148.4250030517578,6,0.4699999988079071
912343301,2013,6,-17.725000381469727,148.4250030517578,1,2.8443334102630615
912343301,2013,6,-17.725000381469727,148.4250030517578,2,0.9142857193946838
912343301,2013,6,-17.725000381469727,148.4250030517578,3,1.6299999952316284
912343301,2013,6,-17.725000381469727,148.4250030517578,4,0.800000011920929
