"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost","Cyphastrea.Submassive"
"CS73","Pre",154.39572,-20.93697,1,"North Fredrick Bommie",25.37470881,1.544985853,502.9934443,237.0614685,808.7224538,136.8603613,27.5608559,1,20.53066513,6.157276731,2.210208849,0.598981356,29.5,0,9.5,27.47108841,0,0,2013,2017,4,"Pre_1",0.5
"GBR243","Pre",151.75731,-23.53652,3,"Masthead Site 3",23.90876214,2.417687389,1383.370092,1021.29452,1811.582319,197.7714786,116.9786178,2,5.627761348,1.95431213,0.687166065,0.588402604,194.25,0,9.05,27.14776611,0,0,2015,2017,2,"Pre_3",0.5
"GBR250","Pre",151.94545,-23.25245,3,"Broomfield Reef Site 2",24.14808655,2.173217798,1423.802515,1110.537947,1797.95742,141.9435558,92.53804574,1,9.34648758,3.261714864,1.219379205,1.375024293,284.25,0,8.25,27.13696861,0,0,2015,2017,2,"Pre_3",0.5
"GBR255","Post",150.9803,-23.18769,4,"Clam Bay",23.76867263,2.910898252,1382.8146,909.2446476,1864.969075,259.1773963,121.6991388,2,0.25105014,0.1098896,0.036644621,33.62215242,45,2974,3,27.47215271,0.519999988,2.21999995,2010,2017,7,"Post_4",1
"GBR59","Post",143.8151,-12.87385,4,"Shark Reef",26.5309329,1.610975137,799.1032001,584.7033139,1118.041114,129.0465694,56.77538719,1,12.74590554,6.900619929,1.567083706,0,324.25,0,5.05,28.49404716,8.289999815,2.24999995,2015,2016,1,"Post_4",0.5
"GBR62","Post",144.28213,-13.8185,4,"Crocodile Bommie",26.37396208,1.69500574,1125.213332,792.3369637,1734.570518,219.3020591,87.46185331,1,6.95891912,3.596398081,0.798181632,0,179.25,0,3.5,28.47331047,9.489999788,2.399999946,2015,2016,1,"Post_4",0.5
"NMP-C3","Post",113.75364,-23.14152,3,"Coral Bay Central",24.11945502,1.847096814,1724.519245,1199.581372,2198.89237,193.665246,280.8758984,2,17.96217474,5.52659537,1.913034493,647.5848743,43.75,288,3.6,26.75812721,0,2.68999994,2012,2019,7,"Post_3",5
"NMP-C3","Pre",113.75364,-23.14152,3,"Coral Bay Central",24.11945502,1.847096814,1724.519245,1199.581372,2198.89237,193.665246,280.8758984,2,17.96217474,5.52659537,1.913034493,647.5848743,43.75,288,3.8,26.75812721,0,0,2012,2019,7,"Pre_3",9
"NMP-C4","Post",113.76354,-23.19995,3,"Yalobia Passage",24.07359584,1.840379556,1635.58225,1064.09797,2033.823027,175.0452385,279.3650549,1,17.9032839,5.325835733,1.870009558,687.84036,40.75,288,5.53333333333333,26.69993591,0,2.619999941,2012,2017,5,"Post_3",0.333333333333333
"NMP-S2","Post",113.77937,-22.92875,3,"Bruboodjoo",24.27280601,1.865365132,1724.09317,1352.451004,2370.679106,194.7908017,294.114515,1,16.79975145,4.833620731,1.711435191,639.4215999,32.75,10,2.6,26.9465313,0,2.899999935,2012,2017,5,"Post_3",1.5
